Price,Close,High,Low,Open,Volume,label
Ticker,FLOKI-USD,FLOKI-USD,FLOKI-USD,FLOKI-USD,FLOKI-USD,0
2024-07-11,0.0001429999974789098,0.00015500000154133886,0.00014200000441633165,0.00014899999951012433,176400479,0
2024-07-12,0.00014099999680183828,0.0001449999981559813,0.00013699999544769526,0.0001429999974789098,143364684,0
2024-07-13,0.00014200000441633165,0.00014400000509340316,0.00013800000306218863,0.00014099999680183828,121118090,0
2024-07-14,0.00015199999324977398,0.0001539999939268455,0.00014200000441633165,0.00014200000441633165,157098375,0
2024-07-15,0.00018400000408291817,0.00018400000408291817,0.00015100000018719584,0.00015199999324977398,365901945,0
2024-07-16,0.00018899999849963933,0.00019700000120792538,0.00017600000137463212,0.00018400000408291817,511714216,0
2024-07-17,0.00018000000272877514,0.0001939999929163605,0.00017800000205170363,0.0001900000061141327,254804605,0
2024-07-18,0.0001740000006975606,0.00018600000475998968,0.00016900000628083944,0.00018000000272877514,256651211,0
2024-07-19,0.00019099999917671084,0.00019500000053085387,0.00016900000628083944,0.0001740000006975606,303959002,0
2024-07-20,0.00019999999494757503,0.0002099999983329326,0.0001849999971454963,0.00019099999917671084,352656840,0
2024-07-21,0.00020599999697878957,0.0002099999983329326,0.00019200000679120421,0.00019999999494757503,321454478,0
2024-07-22,0.00019299999985378236,0.0002099999983329326,0.00019099999917671084,0.00020599999697878957,475149641,0
2024-07-23,0.0001849999971454963,0.000195999993593432,0.00018000000272877514,0.00019299999985378236,237940627,0
2024-07-24,0.00017899999511428177,0.000195999993593432,0.00017699999443721026,0.0001849999971454963,223228637,0
2024-07-25,0.00017499999376013875,0.00018099999579135329,0.00016500000492669642,0.00017899999511428177,233701093,0
2024-07-26,0.00018099999579135329,0.00018200000340584666,0.00017499999376013875,0.00017499999376013875,179051413,0
2024-07-27,0.00017800000205170363,0.0001880000054370612,0.0001740000006975606,0.00018099999579135329,198983543,0
2024-07-28,0.00017299999308306724,0.00017800000205170363,0.00017100000695791095,0.00017800000205170363,123290862,0
2024-07-29,0.0001720000000204891,0.0001829999964684248,0.00017100000695791095,0.00017299999308306724,174036115,0
2024-07-30,0.00016700000560376793,0.00017499999376013875,0.00016399999731220305,0.0001720000000204891,148008313,0
2024-07-31,0.0001610000035725534,0.0001740000006975606,0.0001610000035725534,0.00016700000560376793,170401142,0
2024-08-01,0.00015799999528098851,0.00016399999731220305,0.0001449999981559813,0.0001610000035725534,203806283,0
2024-08-02,0.00014099999680183828,0.00015900000289548188,0.00014099999680183828,0.00015799999528098851,206171387,0
2024-08-03,0.00013099999341648072,0.0001449999981559813,0.00012799999967683107,0.00014099999680183828,183980854,0
2024-08-04,0.00012199999764561653,0.0001340000017080456,0.00011700000322889537,0.00013099999341648072,194939682,0
2024-08-05,0.00011000000085914508,0.00012399999832268804,9.7999996796716e-05,0.00012199999764561653,491360956,0
2024-08-06,0.00012099999730708078,0.0001250000059371814,0.00011000000085914508,0.00011000000085914508,240047623,0
2024-08-07,0.00011800000356743112,0.00013699999544769526,0.00011700000322889537,0.00012099999730708078,332659040,0
2024-08-08,0.0001320000010309741,0.0001340000017080456,0.0001140000022132881,0.00011800000356743112,242840174,0
2024-08-09,0.0001289999927394092,0.00013299999409355223,0.0001250000059371814,0.0001320000010309741,183623796,0
2024-08-10,0.00012700000661425292,0.00013099999341648072,0.00012599999899975955,0.0001289999927394092,124728941,0
2024-08-11,0.00011700000322889537,0.00013099999341648072,0.00011700000322889537,0.00012700000661425292,158097696,0
2024-08-12,0.00012399999832268804,0.00012599999899975955,0.00011600000289035961,0.00011700000322889537,183835068,0
2024-08-13,0.0001230000052601099,0.00012599999899975955,0.00011999999696854502,0.00012399999832268804,131863930,0
2024-08-14,0.00011899999663000926,0.00012599999899975955,0.00011800000356743112,0.0001230000052601099,146104030,0
2024-08-15,0.00011600000289035961,0.00012199999764561653,0.00011300000187475234,0.00011899999663000926,139253794,0
2024-08-16,0.00011300000187475234,0.00011800000356743112,0.00011100000119768083,0.00011600000289035961,139834516,0
2024-08-17,0.00011500000255182385,0.00011600000289035961,0.00011200000153621659,0.00011300000187475234,101616853,0
2024-08-18,0.00011500000255182385,0.00011800000356743112,0.00011300000187475234,0.00011500000255182385,109318564,0
2024-08-19,0.00011600000289035961,0.00011800000356743112,0.00011100000119768083,0.00011500000255182385,130577675,0
2024-08-20,0.0001250000059371814,0.00013299999409355223,0.00011600000289035961,0.00011700000322889537,279566327,0
2024-08-21,0.00012799999967683107,0.0001289999927394092,0.00011999999696854502,0.0001250000059371814,189213163,0
2024-08-22,0.00013899999612476677,0.00014400000509340316,0.00012599999899975955,0.00012799999967683107,319596834,0
2024-08-23,0.00014800000644754618,0.00015199999324977398,0.00013600000238511711,0.00013899999612476677,262265440,0
2024-08-24,0.0001539999939268455,0.00015999999595806003,0.00014699999883305281,0.00014800000644754618,251202318,0
2024-08-25,0.0001500000071246177,0.0001539999939268455,0.00014099999680183828,0.0001539999939268455,218797434,0
2024-08-26,0.00014800000644754618,0.000155999994603917,0.00014699999883305281,0.0001500000071246177,289809917,0
